[2024-07-24 12:47:31,543] CF65 | T0 → PWM0
[2024-07-24 16:21:22,530] CF65 CF67 | T25 → PWM22722
[2024-07-24 16:21:49,038] CF65 CF67 | T0 → PWM0
[2024-07-24 16:22:16,546] CF65 CF67 | T25 → PWM22722
[2024-07-24 16:26:19,230] CF67 CF65 | T0 → PWM0
[2024-07-24 16:26:49,627] CF67 CF65 | T25 → PWM22722
[2024-07-24 16:30:52,410] CF67 CF65 | T0 → PWM0
[2024-07-24 16:31:22,822] CF67 CF65 | T25 → PWM22722
[2024-07-24 16:35:25,664] CF67 CF65 | T0 → PWM0
[2024-07-24 16:35:56,619] CF67 CF65 | T25 → PWM22722
[2024-07-24 16:37:35,586] CF65 CF67 | T0 → PWM0
[2024-07-24 16:38:04,492] CF65 CF67 | T25 → PWM22722
[2024-07-24 16:39:43,139] CF65 CF67 | T0 → PWM0
[2024-07-24 16:40:12,200] CF67 CF65 | T25 → PWM22722
[2024-07-24 16:41:50,983] CF67 CF65 | T0 → PWM0
[2024-07-24 16:42:20,582] CF65 CF67 | T25 → PWM22722
[2024-07-24 16:43:11,189] CF65 CF67 | T0 → PWM0
[2024-07-24 16:43:39,501] CF67 CF65 | T25 → PWM22722
[2024-07-24 16:44:30,154] CF65 CF67 | T0 → PWM0
[2024-07-24 16:44:58,268] CF65 CF67 | T25 → PWM22722
[2024-07-24 16:45:48,905] CF67 CF65 | T0 → PWM0
[2024-07-24 16:46:17,608] CF65 CF67 | T25 → PWM22722
[2024-07-24 16:46:52,150] CF65 CF67 | T0 → PWM0
[2024-07-24 16:47:20,549] CF65 CF67 | T25 → PWM22722
[2024-07-24 16:47:55,183] CF65 CF67 | T0 → PWM0
[2024-07-24 16:48:23,043] CF67 CF65 | T25 → PWM22722
[2024-07-24 16:48:57,631] CF65 CF67 | T0 → PWM0
[2024-07-24 16:49:25,998] CF65 CF67 | T25 → PWM22722
[2024-07-24 16:49:52,806] CF67 CF65 | T0 → PWM0
[2024-07-24 16:50:20,676] CF65 CF67 | T25 → PWM22722
[2024-07-24 16:50:47,210] CF65 CF67 | T0 → PWM0
[2024-07-24 16:51:14,946] CF67 CF65 | T25 → PWM22722
[2024-07-24 16:51:41,530] CF65 CF67 | T0 → PWM0
[2024-07-24 16:52:11,174] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 16:56:14,196] CF67 CF65 | T0 → PWM0
[2024-07-24 16:56:46,345] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:00:49,757] CF65 CF67 | T0 → PWM0
[2024-07-24 17:01:21,859] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:05:24,864] CF67 CF65 | T0 → PWM0
[2024-07-24 17:05:55,774] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:07:34,384] CF67 CF65 | T0 → PWM0
[2024-07-24 17:08:03,587] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:09:42,311] CF67 CF65 | T0 → PWM0
[2024-07-24 17:10:11,412] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:11:50,278] CF67 CF65 | T0 → PWM0
[2024-07-24 17:12:19,902] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:13:10,587] CF67 CF65 | T0 → PWM0
[2024-07-24 17:13:38,875] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:14:29,571] CF65 CF67 | T0 → PWM0
[2024-07-24 17:14:57,681] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:15:48,233] CF67 CF65 | T0 → PWM0
[2024-07-24 17:16:16,860] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:16:51,465] CF67 CF65 | T0 → PWM0
[2024-07-24 17:17:19,600] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:17:54,589] CF65 CF67 | T0 → PWM0
[2024-07-24 17:18:22,388] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:18:56,926] CF65 CF67 | T0 → PWM0
[2024-07-24 17:19:25,260] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:19:51,815] CF67 CF65 | T0 → PWM0
[2024-07-24 17:20:19,576] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:20:46,182] CF65 CF67 | T0 → PWM0
[2024-07-24 17:21:13,933] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:21:40,526] CF67 CF65 | T0 → PWM0
[2024-07-24 17:22:08,330] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:26:11,402] CF67 CF65 | T0 → PWM0
[2024-07-24 17:26:43,643] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:30:46,512] CF65 CF67 | T0 → PWM0
[2024-07-24 17:31:18,588] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:35:21,579] CF67 CF65 | T0 → PWM0
[2024-07-24 17:35:54,476] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:37:33,152] CF65 CF67 | T0 → PWM0
[2024-07-24 17:38:02,337] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:39:41,061] CF65 CF67 | T0 → PWM0
[2024-07-24 17:40:10,157] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:41:48,884] CF67 CF65 | T0 → PWM0
[2024-07-24 17:42:18,382] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:43:09,071] CF67 CF65 | T0 → PWM0
[2024-07-24 17:43:37,603] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:44:28,313] CF65 CF67 | T0 → PWM0
[2024-07-24 17:44:56,472] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:45:47,189] CF67 CF65 | T0 → PWM0
[2024-07-24 17:46:15,898] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:46:50,556] CF67 CF65 | T0 → PWM0
[2024-07-24 17:47:18,491] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:47:53,049] CF67 CF65 | T0 → PWM0
[2024-07-24 17:48:21,233] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:48:55,871] CF65 CF67 | T0 → PWM0
[2024-07-24 17:49:24,216] CF67 CF65 | T55.5588 → PWM42756
[2024-07-24 17:49:50,720] CF67 CF65 | T0 → PWM0
[2024-07-24 17:50:18,662] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:50:45,216] CF67 CF65 | T0 → PWM0
[2024-07-24 17:51:12,892] CF65 CF67 | T55.5588 → PWM42756
[2024-07-24 17:51:39,516] CF65 CF67 | T0 → PWM0
[2024-07-24 17:52:09,010] CF65 CF67 | T75 → PWM53379
[2024-07-24 17:56:12,009] CF67 CF65 | T0 → PWM0
[2024-07-24 17:56:42,578] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:00:45,490] CF67 CF65 | T0 → PWM0
[2024-07-24 18:01:15,809] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:05:18,829] CF67 CF65 | T0 → PWM0
[2024-07-24 18:05:49,868] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:07:28,455] CF65 CF67 | T0 → PWM0
[2024-07-24 18:07:56,926] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:09:35,526] CF65 CF67 | T0 → PWM0
[2024-07-24 18:10:03,795] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:11:42,387] CF65 CF67 | T0 → PWM0
[2024-07-24 18:12:11,285] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:13:01,883] CF67 CF65 | T0 → PWM0
[2024-07-24 18:13:29,737] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:14:20,653] CF67 CF65 | T0 → PWM0
[2024-07-24 18:14:48,328] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:15:38,818] CF65 CF67 | T0 → PWM0
[2024-07-24 18:16:07,007] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:16:41,491] CF65 CF67 | T0 → PWM0
[2024-07-24 18:17:09,066] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:17:43,529] CF65 CF67 | T0 → PWM0
[2024-07-24 18:18:11,016] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:18:45,508] CF67 CF65 | T0 → PWM0
[2024-07-24 18:19:13,753] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:19:40,554] CF65 CF67 | T0 → PWM0
[2024-07-24 18:20:08,055] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:20:34,533] CF67 CF65 | T0 → PWM0
[2024-07-24 18:21:01,913] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:21:28,769] CF67 CF65 | T0 → PWM0
[2024-07-24 18:21:56,452] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:25:59,221] CF67 CF65 | T0 → PWM0
[2024-07-24 18:26:29,831] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:30:32,601] CF65 CF67 | T0 → PWM0
[2024-07-24 18:31:02,922] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:35:05,609] CF65 CF67 | T0 → PWM0
[2024-07-24 18:35:36,466] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:37:15,141] CF67 CF65 | T0 → PWM0
[2024-07-24 18:37:43,719] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:39:22,309] CF65 CF67 | T0 → PWM0
[2024-07-24 18:39:50,680] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:41:29,251] CF65 CF67 | T0 → PWM0
[2024-07-24 18:41:58,468] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:42:49,044] CF65 CF67 | T0 → PWM0
[2024-07-24 18:43:16,783] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:44:07,297] CF67 CF65 | T0 → PWM0
[2024-07-24 18:44:34,945] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:45:25,521] CF65 CF67 | T0 → PWM0
[2024-07-24 18:45:53,683] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:46:28,219] CF65 CF67 | T0 → PWM0
[2024-07-24 18:46:55,835] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:47:30,369] CF67 CF65 | T0 → PWM0
[2024-07-24 18:47:57,838] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:48:32,529] CF67 CF65 | T0 → PWM0
[2024-07-24 18:49:00,560] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:49:27,068] CF65 CF67 | T0 → PWM0
[2024-07-24 18:49:54,548] CF67 CF65 | T75 → PWM53379
[2024-07-24 18:50:21,060] CF65 CF67 | T0 → PWM0
[2024-07-24 18:50:48,473] CF65 CF67 | T75 → PWM53379
[2024-07-24 18:51:15,020] CF67 CF65 | T0 → PWM0
[2024-08-07 16:13:35,443] CF65 CF67 | T10 → PWM10244
[2024-08-07 16:13:38,892] CF67 CF65 | T10 → PWM10244
[2024-08-07 16:13:40,541] CF65 CF67 | T0 → PWM0
[2024-08-07 16:26:20,018] CF65 CF67 | T50 → PWM39471
[2024-08-07 16:27:10,501] CF67 CF65 | T0 → PWM0
[2024-08-07 16:27:42,119] CF67 CF65 | T10 → PWM10244
[2024-08-07 16:27:45,955] CF65 CF67 | T0 → PWM0
[2024-08-07 16:27:56,354] CF67 CF65 | T10 → PWM10244
[2024-08-07 16:27:58,332] CF65 CF67 | T0 → PWM0
[2024-08-07 16:28:18,813] CF67 CF65 | T50 → PWM39471
[2024-08-07 16:29:09,287] CF65 CF67 | T0 → PWM0
[2024-08-07 16:34:56,803] CF67 CF65 | T50 → PWM39471
[2024-08-07 16:35:47,291] CF67 CF65 | T0 → PWM0
[2024-08-07 16:37:19,900] CF67 | T50 → PWM39471
[2024-08-07 16:38:10,479] CF67 | T0 → PWM0
[2024-08-07 16:43:52,921] CF67 CF65 | T50 → PWM39471
[2024-08-07 16:44:43,506] CF67 CF65 | T0 → PWM0
[2024-08-07 16:48:59,520] CF67 | T5 → PWM5388
[2024-08-07 16:49:32,148] CF67 | T10 → PWM10244
[2024-08-07 16:50:04,630] CF67 | T15 → PWM14699
[2024-08-07 16:50:37,204] CF67 | T20 → PWM18839
[2024-08-07 16:51:10,048] CF67 | T25 → PWM22722
[2024-08-07 16:51:42,888] CF67 | T30 → PWM26392
[2024-08-07 16:52:15,401] CF67 | T35 → PWM29879
[2024-08-07 16:52:47,924] CF67 | T40 → PWM33209
[2024-08-07 16:53:20,434] CF67 | T45 → PWM36401
[2024-08-07 16:53:53,335] CF67 | T50 → PWM39471
[2024-08-07 16:54:26,169] CF67 | T55 → PWM42432
[2024-08-07 16:54:59,056] CF67 | T60 → PWM45294
[2024-08-07 16:55:31,574] CF67 | T65 → PWM48068
[2024-08-07 16:56:04,002] CF67 | T70 → PWM50761
[2024-08-07 16:56:36,503] CF67 | T75 → PWM53379
[2024-08-07 16:57:09,185] CF67 | T80 → PWM55929
[2024-08-07 16:57:41,638] CF67 | T85 → PWM58415
[2024-08-07 16:58:14,178] CF67 | T90 → PWM60842
[2024-08-07 16:58:46,627] CF67 | T95 → PWM63214
[2024-08-07 16:59:19,096] CF67 | T100 → PWM65535
[2024-08-07 16:59:51,575] CF67 | T0 → PWM0
[2024-08-08 11:33:53,317] CF65 CF67 | T75 → PWM53379
[2024-08-08 11:34:19,834] CF65 CF67 | T0 → PWM0
[2024-08-08 11:34:48,406] CF65 CF67 | T75 → PWM53379
[2024-08-08 11:35:14,954] CF67 CF65 | T0 → PWM0
[2024-08-08 12:40:32,560] CF65 CF67 | T25 → PWM22722
[2024-08-08 12:44:35,285] CF67 CF65 | T0 → PWM0
[2024-08-08 12:45:06,028] CF67 CF65 | T25 → PWM22722
[2024-08-08 12:49:08,863] CF65 CF67 | T0 → PWM0
[2024-08-08 12:49:39,575] CF65 CF67 | T25 → PWM22722
[2024-08-08 12:53:42,318] CF67 CF65 | T0 → PWM0
[2024-08-08 12:54:13,580] CF65 CF67 | T25 → PWM22722
[2024-08-08 12:55:52,428] CF65 CF67 | T0 → PWM0
[2024-08-08 12:56:20,882] CF65 CF67 | T25 → PWM22722
[2024-08-08 12:57:59,447] CF67 CF65 | T0 → PWM0
[2024-08-08 12:58:27,976] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:00:06,475] CF67 CF65 | T0 → PWM0
[2024-08-08 13:00:35,436] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:01:25,906] CF67 CF65 | T0 → PWM0
[2024-08-08 13:01:53,648] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:02:44,480] CF67 CF65 | T0 → PWM0
[2024-08-08 13:03:12,522] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:04:02,999] CF67 CF65 | T0 → PWM0
[2024-08-08 13:04:31,519] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:05:06,051] CF67 CF65 | T0 → PWM0
[2024-08-08 13:05:33,589] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:06:08,164] CF67 CF65 | T0 → PWM0
[2024-08-08 13:06:35,581] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:07:10,200] CF65 CF67 | T0 → PWM0
[2024-08-08 13:07:38,296] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:08:04,792] CF65 CF67 | T0 → PWM0
[2024-08-08 13:08:32,597] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:08:59,043] CF65 CF67 | T0 → PWM0
[2024-08-08 13:09:26,450] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:09:52,972] CF65 CF67 | T0 → PWM0
[2024-08-08 13:10:20,584] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:14:23,399] CF67 CF65 | T0 → PWM0
[2024-08-08 13:14:54,112] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:18:56,966] CF65 CF67 | T0 → PWM0
[2024-08-08 13:19:27,798] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:23:30,514] CF65 CF67 | T0 → PWM0
[2024-08-08 13:24:01,709] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:25:40,265] CF65 CF67 | T0 → PWM0
[2024-08-08 13:26:08,645] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:27:47,150] CF67 CF65 | T0 → PWM0
[2024-08-08 13:28:15,850] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:29:54,367] CF65 CF67 | T0 → PWM0
[2024-08-08 13:30:23,333] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:31:14,108] CF65 CF67 | T0 → PWM0
[2024-08-08 13:31:41,730] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:32:32,226] CF65 CF67 | T0 → PWM0
[2024-08-08 13:33:00,013] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:33:50,878] CF67 CF65 | T0 → PWM0
[2024-08-08 13:34:19,228] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:34:53,992] CF65 CF67 | T0 → PWM0
[2024-08-08 13:35:21,437] CF65 CF67 | T25 → PWM22722
[2024-08-08 13:35:55,943] CF67 CF65 | T0 → PWM0
[2024-08-08 13:36:23,713] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:36:58,198] CF67 CF65 | T0 → PWM0
[2024-08-08 13:37:26,212] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:37:52,691] CF67 CF65 | T0 → PWM0
[2024-08-08 13:38:20,119] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:38:46,952] CF65 CF67 | T0 → PWM0
[2024-08-08 13:39:14,290] CF67 CF65 | T25 → PWM22722
[2024-08-08 13:39:40,730] CF65 CF67 | T0 → PWM0
[2024-08-08 13:40:09,923] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 13:44:12,820] CF65 CF67 | T0 → PWM0
[2024-08-08 13:44:43,726] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 13:48:46,530] CF65 CF67 | T0 → PWM0
[2024-08-08 13:49:17,396] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 13:53:20,113] CF65 CF67 | T0 → PWM0
[2024-08-08 13:53:51,451] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 13:55:30,090] CF65 CF67 | T0 → PWM0
[2024-08-08 13:55:58,593] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 13:57:37,128] CF65 CF67 | T0 → PWM0
[2024-08-08 13:58:05,580] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 13:59:44,218] CF65 CF67 | T0 → PWM0
[2024-08-08 14:00:13,067] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 14:01:03,568] CF67 CF65 | T0 → PWM0
[2024-08-08 14:01:31,453] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:02:21,917] CF67 CF65 | T0 → PWM0
[2024-08-08 14:02:49,585] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 14:03:40,205] CF67 CF65 | T0 → PWM0
[2024-08-08 14:04:08,464] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:04:43,033] CF67 CF65 | T0 → PWM0
[2024-08-08 14:05:10,591] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 14:05:45,094] CF67 CF65 | T0 → PWM0
[2024-08-08 14:06:12,579] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:06:47,123] CF67 CF65 | T0 → PWM0
[2024-08-08 14:07:15,105] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 14:07:41,655] CF65 CF67 | T0 → PWM0
[2024-08-08 14:08:09,340] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:08:35,833] CF65 CF67 | T0 → PWM0
[2024-08-08 14:09:03,083] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 14:09:29,573] CF67 CF65 | T0 → PWM0
[2024-08-08 14:09:56,821] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:14:00,165] CF67 CF65 | T0 → PWM0
[2024-08-08 14:14:30,748] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:18:33,597] CF67 CF65 | T0 → PWM0
[2024-08-08 14:19:04,239] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:23:06,900] CF67 CF65 | T0 → PWM0
[2024-08-08 14:23:37,972] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:25:16,533] CF67 CF65 | T0 → PWM0
[2024-08-08 14:25:45,032] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:27:23,568] CF67 CF65 | T0 → PWM0
[2024-08-08 14:27:52,003] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:29:30,593] CF67 CF65 | T0 → PWM0
[2024-08-08 14:29:59,518] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:30:50,414] CF67 CF65 | T0 → PWM0
[2024-08-08 14:31:18,557] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:32:09,247] CF65 CF67 | T0 → PWM0
[2024-08-08 14:32:37,329] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:33:27,837] CF65 CF67 | T0 → PWM0
[2024-08-08 14:33:56,238] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:34:30,712] CF65 CF67 | T0 → PWM0
[2024-08-08 14:34:58,220] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:35:32,665] CF67 CF65 | T0 → PWM0
[2024-08-08 14:36:00,086] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 14:36:34,550] CF65 CF67 | T0 → PWM0
[2024-08-08 14:37:02,467] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 14:37:29,001] CF65 CF67 | T0 → PWM0
[2024-08-08 14:37:56,433] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 14:38:22,995] CF65 CF67 | T0 → PWM0
[2024-08-08 14:38:50,526] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 14:39:17,421] CF65 CF67 | T0 → PWM0
[2024-08-08 14:39:46,461] CF67 CF65 | T75 → PWM53379
[2024-08-08 14:43:49,280] CF67 CF65 | T0 → PWM0
[2024-08-08 14:44:20,471] CF67 CF65 | T75 → PWM53379
[2024-08-08 14:48:23,601] CF67 CF65 | T0 → PWM0
[2024-08-08 14:48:54,349] CF67 CF65 | T75 → PWM53379
[2024-08-08 14:52:57,074] CF65 CF67 | T0 → PWM0
[2024-08-08 14:53:28,315] CF67 CF65 | T75 → PWM53379
[2024-08-08 14:55:06,857] CF65 CF67 | T0 → PWM0
[2024-08-08 14:55:35,351] CF67 CF65 | T75 → PWM53379
[2024-08-08 14:57:14,004] CF67 CF65 | T0 → PWM0
[2024-08-08 14:57:42,306] CF67 CF65 | T75 → PWM53379
[2024-08-08 14:59:20,796] CF67 CF65 | T0 → PWM0
[2024-08-08 14:59:49,678] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:00:40,616] CF65 CF67 | T0 → PWM0
[2024-08-08 15:01:08,499] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:01:59,144] CF67 CF65 | T0 → PWM0
[2024-08-08 15:02:27,032] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:03:17,879] CF65 CF67 | T0 → PWM0
[2024-08-08 15:03:46,417] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:04:20,892] CF65 CF67 | T0 → PWM0
[2024-08-08 15:04:48,522] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:05:23,040] CF65 CF67 | T0 → PWM0
[2024-08-08 15:05:50,811] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:06:25,321] CF65 CF67 | T0 → PWM0
[2024-08-08 15:06:53,645] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:07:20,101] CF67 CF65 | T0 → PWM0
[2024-08-08 15:07:47,535] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:08:14,058] CF65 CF67 | T0 → PWM0
[2024-08-08 15:08:41,415] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:09:07,989] CF67 CF65 | T0 → PWM0
[2024-08-08 15:09:35,342] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:13:38,151] CF67 CF65 | T0 → PWM0
[2024-08-08 15:14:08,908] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:18:11,678] CF65 CF67 | T0 → PWM0
[2024-08-08 15:18:42,335] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:22:45,079] CF65 CF67 | T0 → PWM0
[2024-08-08 15:23:16,175] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:24:54,718] CF67 CF65 | T0 → PWM0
[2024-08-08 15:25:23,042] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:27:01,954] CF65 CF67 | T0 → PWM0
[2024-08-08 15:27:30,241] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:29:08,762] CF65 CF67 | T0 → PWM0
[2024-08-08 15:29:38,026] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:30:28,520] CF67 CF65 | T0 → PWM0
[2024-08-08 15:30:56,182] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:31:47,038] CF67 CF65 | T0 → PWM0
[2024-08-08 15:32:14,627] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:33:05,238] CF65 CF67 | T0 → PWM0
[2024-08-08 15:33:33,579] CF67 CF65 | T75 → PWM53379
